nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
École Privée de santé Koro de Niamana EPSKN;ML;Bamako;Niamana - Kati;Université;MLI-0190;Privé;2024-2025
École Privée de Santé Mamadou Marouf KEITA – Kita EPSMK;ML;Kita;Kita Ville;Université;MLI-0191;Privé;2024-2025
Ecole Privée de Santé Moderne EPSaM;ML;Bamako;Bamako-Sébénikoro;Université;MLI-0192;Privé;2024-2025
Ecole Privée de Santé Safari de Magnambougou EPSSM;ML;Bamako;Magnambougou - Bamako;Université;MLI-0193;Privé;2024-2025
Ecole Privée de Santé Salia TRAORE de Sikasso EPSST-SIK;ML;Bamako;Hamdallaye - Sikasso;Université;MLI-0194;Privé;2024-2025
École Privée de Santé Sylla Yelli GOUNDO EPSSYG;ML;Kayes;Kayes;Université;MLI-0195;Privé;2024-2025
Ecole Privée de Santé Dr Amadou Mountaga TALL EPS-TALL;ML;Bamako;Hamdallaye, Koutiala;Université;MLI-0196;Privé;2024-2025
Ecole Privée des Hautes Etudes Comptables et Financières-Mali EPHECEF-MALI;ML;Bamako;Bamako-Kalabancoura;Université;MLI-0197;Privé;2024-2025
Ecole Privée des Hautes Etudes en Santé Publique EPHESP;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0198;Privé;2024-2025
Ecole Privée des Hautes Etudes Pratiques EPHEP;ML;Bamako;Hamdallaye ACI 2000;Université;MLI-0199;Privé;2024-2025
Ecole Privée des Techniciens Socio-Sanitaires EPTSS;ML;Bamako;Sikasso-Hamdallaye;Université;MLI-0200;Privé;2024-2025
Ecole Rationnelle Privée d’Informatique et d’Electronique ERPIE;ML;Koulikoro;Sangarébougou - Kati;Université;MLI-0201;Privé;2024-2025
Ecole Spéciale Privée de Commerce, d’Administration et de l’Entrepreneuriat ESCAE-P;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0202;Privé;2024-2025
Ecole Supérieure de Commerce du Mali ESC Mali;ML;Bamako;Bamako-Magnambougou Sokorodji;Université;MLI-0203;Privé;2024-2025
École Supérieure de Gestion ESG;ML;Bamako;Bamako-Commune IV;Université;MLI-0204;Privé;2024-2025
École Supérieure de Gestion d’Informatique et de Comptabilité ESGIC;ML;Bamako;Bamako-Badalabougou;Université;MLI-0205;Privé;2024-2025
Ecole Supérieure d’Informatique et de Gestion ESIG;ML;Bamako;Bamako-Cité du Niger;Université;MLI-0206;Privé;2024-2025
Ecole Supérieure d’Ingénierie d’Architecture et d’Urbanisme ESIAU;ML;Bamako;Bamako-Badialan;Université;MLI-0207;Privé;2024-2025
Ecole Supérieure en Sciences de Gestion et de Management du développement Durable Appliqué ESUPEG-MDD;ML;Bamako;Banankabougou - Bamako;Université;MLI-0208;Privé;2024-2025
École Supérieure Privée d’Agriculture et d’Elevage ESPAE;ML;Ségou;Pélengana - Ségou;Université;MLI-0209;Privé;2024-2025
Ecole Supérieure Privée d’Ingénierie et de Management ESPIM;ML;;Non précisé;Université;MLI-0210;Privé;2024-2025
Ecole Supérieure Privée de Commerce et de Gestion ESPCG;ML;Bamako;Bamako-Titibougou;Université;MLI-0211;Privé;2024-2025
Ecole Supérieure Privée de Commerce et de Technologie ESPCT;ML;Bamako;Bamako-Torokorobougou;Université;MLI-0212;Privé;2024-2025
Ecole Supérieure Privée de Géologie et des Mines ESPGM;ML;Bamako;Magnambougou - Bamako;Université;MLI-0213;Privé;2024-2025
Ecole Supérieure Privée de Passation et de Gestion des Marchés Publics ESPGMP;ML;Bamako;Hamdallaye ACI 2000 - Bamako;Université;MLI-0214;Privé;2024-2025
École Supérieure Privée de Santé de Bamako ESPSB;ML;Bamako;Bamako-Djélibougou;Université;MLI-0215;Privé;2024-2025
Ecole Supérieure Privée de santé Kénédougou ESPS-KENE;ML;Bamako;Kalabancoro - Kati;Université;MLI-0216;Privé;2024-2025
Ecole Supérieure Privée de Santé N’DOUANGA ESPSN;ML;Bamako;Bacodjicoroni - Bamako;Université;MLI-0217;Privé;2024-2025
Ecole Supérieure Privée de Technologies Appliquées du Mali APTECH MALI;ML;Bamako;Bamako-Hippodrome;Université;MLI-0218;Privé;2024-2025
Ecole Supérieure Privée des Techniques Industrielles et de Gestion Fako Konate ESPTIG-Fako KONATE;ML;Bamako;Bamako-Kalabancoura;Université;MLI-0219;Privé;2024-2025
Ecole Supérieure Privée des Technologies Appliquées et de Management ECOSTAM-P;ML;Bamako;Boulkassoumbougou - Bamako;Université;MLI-0220;Privé;2024-2025
Ecole Technique Privée d’Enseignement Professionnel ETPEP;ML;Bamako;Bamako-Baco-Djicoroni;Université;MLI-0221;Privé;2024-2025
Ecole Technique Supérieure Privée de Gestion Soumatio Diamoutene ETSPG-SD;ML;Sikasso;Sikasso-Médine;Université;MLI-0222;Privé;2024-2025
École Universitaire de Technologie et de Gestion EUTG;ML;Bamako;Bamako-Bacodjicoroni ACI;Université;MLI-0223;Privé;2024-2025
Elite Internationale de Bamako EIB;ML;Bamako;Bamako-Magnambougou;Université;MLI-0224;Privé;2024-2025
Faculté de Touba pour les Etudes Islamiques FTEI;ML;Bamako;Sotuba - Bamako;Université;MLI-0225;Privé;2024-2025
Group Gemini Management International GGMI;ML;Bamako;Bamako-Baco Djicoroni ACI Golf;Université;MLI-0226;Privé;2024-2025
Hautes Etudes Commerciales, Groupe HECI au Mali HEC;ML;Bamako;Bamako-cité du Niger;Université;MLI-0227;Privé;2024-2025
