nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
COMPLEXE SCOLAIRE DR KIABILUA;CD;Kinshasa;MONT-NGAFUL A;Lycée;P6401;Privé;2024-2025
COMPLEXE SCOLAIRE DR KIABILUA;CD;Kinshasa;MONT-NGAFUL A;Lycée;P6401-625;Privé;2024-2025
COMPLEXE SCOLAIRE SAINT DOMINIQUE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P6402;Privé;2024-2025
COMPLEXE SCOLAIRE BIEN AIME / MATERNELLE;CD;Kinshasa;BARUMBU;École maternelle;P643;Privé;2024-2025
COMPLEXE SCOLAIRE BIEN AIME / PRIMAIRE;CD;Kinshasa;BARUMBU;École primaire;P644;Privé;2024-2025
COMPLEXE SCOLAIRE BIEN AIME / SECONDAIRE;CD;Kinshasa;BARUMBU;Lycée;P645;Privé;2024-2025
COMPLEXE SCOLAIRE PEPINIERE / MATERNELLE;CD;Kinshasa;BARUMBU;École maternelle;P647;Privé;2024-2025
COMPLEXE SCOLAIRE PEPINIERE / PRIMAIRE;CD;Kinshasa;BARUMBU;École primaire;P648;Privé;2024-2025
COMPLEXE SCOLAIRE PEPINIERE / SECONDAIRE;CD;Kinshasa;BARUMBU;Lycée;P649;Privé;2024-2025
GROUPE SCOLAIRE GRACIA 2;CD;Kinshasa;NGALIEMA;Lycée;P650;Privé;2024-2025
GROUPE SCOLAIRE GRACIA 2;CD;Kinshasa;NGALIEMA;Lycée;P650-634;Privé;2024-2025
COMPLEXE SCOLAIRE KUNTWALA;CD;Kinshasa;NGALIEMA;École primaire;P653;Privé;2024-2025
COMPLEXE SCOLAIRE GAMALIEL;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P655;Privé;2024-2025
ECOLE SAINT JOSEPH;CD;Kinshasa;MONT-NGAFUL A;École primaire;P659;Privé;2024-2025
LYCEE LIZIBA/MATERNELLE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P660;Privé;2024-2025
COMPLEXE SCOLAIRE EMMANUEL/MATE;CD;Kinshasa;NGALIEMA;École maternelle;P6703;Privé;2024-2025
ECOLE PRIMAIRE LOBOKO NA YE;CD;Kinshasa;LINGWALA;École primaire;P673;Privé;2024-2025
GROUPE SCOLAIRE BILINGUE LES HEROS;CD;Kinshasa;NGALIEMA;Lycée;P6731;Privé;2024-2025
COMPLEXE SCOLAIRE LES ERUDITS;CD;Kinshasa;NGALIEMA;École maternelle;P6736;Privé;2024-2025
ECOLE MATERNELLE COLLEGE ANGELA 1;CD;Kinshasa;NGALIEMA;École maternelle;P679;Privé;2024-2025
COLLEGE ANGELA 1;CD;Kinshasa;NGALIEMA;Lycée;P682;Privé;2024-2025
COMPLEXE SCOLAIRE LA BORNE;CD;Kinshasa;NGALIEMA;École primaire;P687;Privé;2024-2025
COMPLEXE SCOLAIRE REHOBOTH;CD;Kinshasa;MONT-NGAFUL A;À vérifier;P700;Privé;2024-2025
